Unnamed: 0,Number of components,Type of DES,Component#1,Smiles#1,T#1,Component#2,Smiles#2,T#2,X#1 (molar fraction),X#2 (molar fraction),"Tmelt, K",Reference (DOI)
84,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,321.15,0.6,0.4,334.62,
85,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,321.15,0.7,0.3,371.45,
86,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,321.15,0.8,0.2,451.65,
87,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,C(CCO)CO,321.15,0.9,0.1,513.15,
88,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CNC(=O)N,372.15,0.33,0.67,302.15,
89,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.14,0.86,332.2,
90,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.2,0.8,331.58,
91,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.4,0.6,329.98,
92,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.33,0.67,344.82,
93,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.6,0.4,339.48,
94,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.67,0.33,456.75,
95,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCCCCCO,329.15,0.9,0.1,510.18,
96,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCO,309.15,0.1,0.9,310.92,
97,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCO,309.15,0.29,0.71,306.54999999999995,
98,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCO,309.15,0.4,0.6,319.48,
100,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCO,309.15,0.5,0.5,414.08,
101,2,,,C[N+](C)(C)CCO.[Cl-],575.15,,CCCCCCCCCCCCCCO,309.15,0.75,0.25,456.58,
